DATE,CNP16OV,MORTGAGE30US,T10YIE,UNRATE,CSUSHPISA
2003-01-01,219897,5.916,1.7542857142857144,5.8,128.461
2003-02-01,220114,5.8425,1.9126315789473685,5.9,129.355
2003-03-01,220317,5.745,1.8628571428571428,5.9,130.148
2003-04-01,220540,5.8125,1.7747619047619048,6.0,130.884
2003-05-01,220768,5.484,1.660952380952381,6.1,131.735
2003-06-01,221014,5.23,1.6123809523809525,6.3,132.649
2003-07-01,221252,5.6325,1.8659090909090907,6.2,133.77700000000002
2003-08-01,221507,6.264,2.124761904761905,6.1,134.969
2003-09-01,221779,6.1475,2.088095238095238,6.1,136.29399999999998
2003-10-01,222039,5.952,2.214090909090909,6.0,137.531
2003-11-01,222279,5.9325,2.3361111111111112,5.8,138.79399999999998
2003-12-01,222509,5.876,2.2840909090909087,5.7,140.179
2004-01-01,222161,5.7125,2.263,5.7,141.64600000000002
2004-02-01,222357,5.635,2.3221052631578947,5.6,143.192
2004-03-01,222550,5.445,2.361304347826087,5.8,145.059
2004-04-01,222757,5.83,2.4447619047619047,5.6,146.593
2004-05-01,222967,6.27,2.6255,5.6,148.186
2004-06-01,223196,6.2875,2.587619047619048,5.6,149.85
2004-07-01,223422,6.056,2.473809523809524,5.5,151.338
2004-08-01,223677,5.8675,2.4218181818181814,5.4,152.63299999999998
2004-09-01,223941,5.754,2.3266666666666667,5.4,154.179
2004-10-01,224192,5.7225,2.368,5.5,155.75
2004-11-01,224422,5.73,2.518,5.4,157.52700000000002
2004-12-01,224640,5.752,2.5622727272727275,5.4,159.33
2005-01-01,224837,5.71,2.498,5.3,161.28799999999998
2005-02-01,225041,5.6275,2.534210526315789,5.4,163.344
2005-03-01,225236,5.928,2.710454545454545,5.2,165.812
2005-04-01,225441,5.855,2.6352380952380954,5.2,167.50099999999998
2005-05-01,225670,5.72,2.490952380952381,5.1,169.351
2005-06-01,225911,5.582,2.323636363636364,5.0,171.19
2005-07-01,226153,5.695,2.301,5.0,172.86
2005-08-01,226421,5.82,2.3734782608695646,4.9,174.442
2005-09-01,226693,5.774,2.5,5.0,176.438
2005-10-01,226959,6.065,2.521,5.0,178.028
2005-11-01,227204,6.33,2.4715,5.0,179.68
2005-12-01,227425,6.272,2.343809523809524,4.9,180.91
2006-01-01,227553,6.145,2.41,4.7,182.321
2006-02-01,227763,6.2525,2.52,4.8,183.287
2006-03-01,227975,6.324,2.526521739130435,4.7,184.364
2006-04-01,228199,6.5075,2.581578947368421,4.7,184.329
2006-05-01,228428,6.5975,2.6640909090909086,4.6,184.156
2006-06-01,228671,6.682,2.5768181818181817,4.6,183.507
2006-07-01,228912,6.7625,2.5805,4.7,183.068
2006-08-01,229167,6.524,2.5856521739130436,4.7,182.594
2006-09-01,229420,6.4025,2.3995,4.5,182.798
2006-10-01,229675,6.3575,2.317619047619048,4.4,183.198
2006-11-01,229905,6.24,2.3033333333333332,4.5,183.609
2006-12-01,230108,6.135,2.314,4.4,184.139
2007-01-01,230650,6.2175,2.322857142857143,4.6,184.517
2007-02-01,230834,6.285,2.3621052631578947,4.5,184.598
2007-03-01,231034,6.156,2.3877272727272727,4.4,184.15
2007-04-01,231253,6.18,2.438095238095238,4.5,183.01
2007-05-01,231480,6.262,2.372727272727273,4.4,181.6
2007-06-01,231713,6.6575,2.4119047619047618,4.6,180.254
2007-07-01,231958,6.695,2.367619047619048,4.7,179.111
2007-08-01,232211,6.572,2.236521739130435,4.6,178.116
2007-09-01,232461,6.3825,2.264210526315789,4.7,177.558
2007-10-01,232715,6.375,2.325454545454545,4.7,176.62400000000002
2007-11-01,232939,6.208,2.3805,4.7,175.14700000000002
2007-12-01,233156,6.095,2.3085,5.0,174.342
2008-01-01,232616,5.758,2.275238095238095,5.0,173.132
2008-02-01,232809,5.9175,2.3325,4.9,171.541
2008-03-01,232995,5.97,2.419,5.1,170.053
2008-04-01,233198,5.9175,2.312727272727273,5.0,168.338
2008-05-01,233405,6.036,2.42,5.4,166.65900000000002
2008-06-01,233627,6.32,2.470952380952381,5.6,165.017
2008-07-01,233864,6.426,2.438636363636364,5.8,163.566
2008-08-01,234107,6.4775,2.2095238095238092,6.1,161.987
2008-09-01,234360,6.0375,1.836190476190476,6.1,160.308
2008-10-01,234612,6.2,1.0618181818181818,6.5,158.327
2008-11-01,234828,6.0875,0.6383333333333333,6.8,156.142
2008-12-01,235035,5.286,0.2463636363636363,7.3,153.619
2009-01-01,234739,5.0475,0.6055,7.8,151.507
2009-02-01,234913,5.13,1.1178947368421053,8.3,150.015
2009-03-01,235086,5.0025,1.1104545454545456,8.7,148.66
2009-04-01,235271,4.81,1.3595238095238096,9.0,147.94899999999998
2009-05-01,235452,4.8575,1.576,9.4,147.694
2009-06-01,235655,5.42,1.8595454545454544,9.5,148.09
2009-07-01,235870,5.222,1.7395454545454545,9.5,148.41
2009-08-01,236087,5.1925,1.8133333333333332,9.6,148.278
2009-09-01,236322,5.0575,1.76,9.8,148.025
2009-10-01,236550,4.952,1.9042857142857144,10.0,147.85
2009-11-01,236743,4.875,2.127368421052632,9.9,148.134
2009-12-01,236924,4.93,2.225454545454545,9.9,147.929
2010-01-01,236832,5.03,2.358421052631579,9.8,147.39600000000002
2010-02-01,236998,4.99,2.272105263157895,9.8,145.631
2010-03-01,237159,4.9675,2.219130434782609,9.9,145.859
2010-04-01,237329,5.098,2.3459090909090907,9.9,146.403
2010-05-01,237499,4.8875,2.113,9.6,146.394
2010-06-01,237690,4.7375,1.9472727272727277,9.4,145.721
2010-07-01,237890,4.564,1.7704761904761903,9.4,144.991
2010-08-01,238099,4.4275,1.6768181818181818,9.5,143.916
2010-09-01,238322,4.346,1.7385714285714287,9.5,143.019
2010-10-01,238530,4.225,2.015,9.4,142.531
2010-11-01,238715,4.3,2.097,9.8,142.173
2010-12-01,238889,4.714,2.2468181818181816,9.3,142.06
2011-01-01,238704,4.755,2.3335,9.1,141.52100000000002
2011-02-01,238851,4.9525,2.338421052631579,9.0,140.35
2011-03-01,239000,4.836,2.450434782608696,9.0,139.981
2011-04-01,239146,4.84,2.5915,9.1,140.01
2011-05-01,239313,4.6375,2.39,9.0,139.905
2011-06-01,239489,4.51,2.2468181818181816,9.1,139.862
2011-07-01,239671,4.545,2.3795,9.0,139.73
2011-08-01,239871,4.27,2.167826086956522,9.0,139.309
2011-09-01,240071,4.106,1.897619047619048,9.0,138.668
2011-10-01,240269,4.0675,1.966,8.8,137.952
2011-11-01,240441,3.9925,2.012,8.6,137.15200000000002
2011-12-01,240584,3.958,2.009523809523809,8.5,136.674
2012-01-01,242269,3.915,2.0745,8.3,136.607
2012-02-01,242435,3.89,2.222,8.3,136.533
2012-03-01,242604,3.954,2.314090909090909,8.2,137.904
2012-04-01,242784,3.91,2.2666666666666666,8.2,139.154
2012-05-01,242966,3.798,2.1445454545454545,8.2,140.155
2012-06-01,243155,3.675,2.1228571428571428,8.2,141.03
2012-07-01,243354,3.55,2.128571428571429,8.2,141.66899999999998
2012-08-01,243566,3.602,2.2639130434782606,8.1,142.279
2012-09-01,243772,3.4975,2.436315789473684,7.8,142.908
2012-10-01,243983,3.3825,2.494761904761905,7.8,143.6
2012-11-01,244174,3.352,2.4265,7.7,144.585
2012-12-01,244350,3.345,2.4765,7.9,145.503
2013-01-01,244663,3.414,2.523333333333333,8.0,146.827
2013-02-01,244828,3.5325,2.5547368421052634,7.7,147.784
2013-03-01,244995,3.565,2.5425,7.5,149.963
2013-04-01,245175,3.445,2.4113636363636366,7.6,151.519
2013-05-01,245363,3.536,2.283181818181818,7.5,152.85
2013-06-01,245552,4.07,2.0485,7.5,154.2
2013-07-01,245756,4.37,2.1222727272727275,7.3,155.60399999999998
2013-08-01,245959,4.456,2.1845454545454546,7.2,156.965
2013-09-01,246168,4.49,2.1455,7.2,158.227
2013-10-01,246381,4.192,2.1872727272727275,7.2,159.24200000000002
2013-11-01,246567,4.255,2.1705263157894734,6.9,160.07399999999998
2013-12-01,246745,4.4575,2.163333333333333,6.7,160.994
2014-01-01,246915,4.432,2.226190476190476,6.6,161.92700000000002
2014-02-01,247085,4.3025,2.157368421052632,6.7,162.525
2014-03-01,247258,4.3425,2.167619047619048,6.7,163.086
2014-04-01,247439,4.3375,2.1623809523809525,6.2,163.393
2014-05-01,247622,4.192,2.190952380952381,6.3,163.66
2014-06-01,247814,4.1625,2.2290476190476194,6.1,164.06400000000002
2014-07-01,248023,4.13,2.2627272727272727,6.2,164.579
2014-08-01,248229,4.115,2.196190476190476,6.1,165.215
2014-09-01,248446,4.1625,2.0733333333333333,5.9,165.905
2014-10-01,248657,4.036,1.92,5.7,166.641
2014-11-01,248844,3.9975,1.88,5.8,167.335
2014-12-01,249027,3.864,1.6968181818181818,5.6,168.051
2015-01-01,249723,3.67,1.607,5.7,168.634
2015-02-01,249899,3.71,1.7152631578947368,5.5,169.12900000000002
2015-03-01,250080,3.77,1.7618181818181817,5.4,169.799
2015-04-01,250266,3.672,1.8581818181818184,5.4,170.298
2015-05-01,250455,3.84,1.8655,5.6,170.88
2015-06-01,250663,3.9825,1.8659090909090907,5.3,171.47099999999998
2015-07-01,250876,4.046,1.8209090909090908,5.2,172.13299999999998
2015-08-01,251096,3.905,1.6114285714285714,5.1,172.93599999999998
2015-09-01,251325,3.89,1.522857142857143,5.0,173.828
2015-10-01,251541,3.796,1.4985714285714287,5.0,174.792
2015-11-01,251747,3.9425,1.5705263157894735,5.1,175.738
2015-12-01,251936,3.964,1.515,5.0,176.544
2016-01-01,252397,3.8725,1.42,4.8,177.274
2016-02-01,252577,3.66,1.3075,4.9,177.649
2016-03-01,252768,3.694,1.5518181818181818,5.0,178.16400000000002
2016-04-01,252969,3.605,1.6147619047619048,5.1,178.766
2016-05-01,253174,3.6,1.5942857142857143,4.8,179.429
2016-06-01,253397,3.568,1.47,4.9,180.084
2016-07-01,253620,3.44,1.4655,4.8,180.834
2016-08-01,253854,3.435,1.4682608695652175,4.9,181.85
2016-09-01,254091,3.46,1.5147619047619048,5.0,182.823
2016-10-01,254321,3.47,1.667,4.9,183.75
2016-11-01,254540,3.77,1.822,4.7,184.759
2016-12-01,254742,4.198,1.9357142857142855,4.7,185.725
2017-01-01,254082,4.15,2.0115,4.7,186.805
2017-02-01,254246,4.1675,2.0189473684210526,4.6,187.313
2017-03-01,254414,4.196,1.9960869565217392,4.4,187.992
2017-04-01,254588,4.045,1.906315789473684,4.4,188.724
2017-05-01,254767,4.01,1.8368181818181817,4.4,189.616
2017-06-01,254957,3.904,1.7286363636363635,4.3,190.513
2017-07-01,255151,3.9675,1.772,4.3,191.45
2017-08-01,255357,3.88,1.7756521739130435,4.4,192.663
2017-09-01,255562,3.805,1.834,4.3,193.759
2017-10-01,255766,3.895,1.8619047619047615,4.2,194.805
2017-11-01,255949,3.922,1.857619047619048,4.2,195.958
2017-12-01,256109,3.95,1.8995,4.1,197.178
2018-01-01,256780,4.0325,2.043809523809524,4.0,198.314
2018-02-01,256934,4.33,2.101578947368421,4.1,199.227
2018-03-01,257097,4.444,2.0904761904761906,4.0,199.961
2018-04-01,257272,4.4675,2.127619047619048,4.0,200.655
2018-05-01,257454,4.586,2.1418181818181816,3.8,201.423
2018-06-01,257642,4.57,2.117619047619048,4.0,202.237
2018-07-01,257843,4.5275,2.1142857142857143,3.8,202.907
2018-08-01,258066,4.55,2.0991304347826087,3.8,203.688
2018-09-01,258290,4.6275,2.123157894736842,3.7,204.353
2018-10-01,258514,4.83,2.1113636363636363,3.8,205.12
2018-11-01,258708,4.866,2.004,3.8,205.679
2018-12-01,258888,4.6375,1.816315789473684,3.9,206.169
2019-01-01,258239,4.464,1.7938095238095237,4.0,206.539
2019-02-01,258392,4.37,1.8768421052631576,3.8,206.848
2019-03-01,258537,4.265,1.9128571428571428,3.8,207.047
2019-04-01,258693,4.1425,1.9366666666666668,3.6,207.506
2019-05-01,258861,4.072,1.8263636363636364,3.7,208.138
2019-06-01,259037,3.8025,1.7,3.6,208.659
2019-07-01,259225,3.765,1.7527272727272727,3.7,209.262
2019-08-01,259432,3.616,1.5863636363636364,3.7,210.102
2019-09-01,259638,3.605,1.587,3.5,210.913
2019-10-01,259845,3.688,1.5609090909090908,3.6,211.808
2019-11-01,260020,3.695,1.6405263157894736,3.6,212.805
2019-12-01,260181,3.72,1.718095238095238,3.6,213.955
2020-01-01,259502,3.624,1.720952380952381,3.5,214.99400000000003
2020-02-01,259628,3.465,1.6157894736842104,3.5,215.837
2020-03-01,259758,3.45,0.9868181818181818,4.4,216.365
2020-04-01,259896,3.306,1.1033333333333333,14.7,216.801
2020-05-01,260047,3.2325,1.1155,13.2,216.987
2020-06-01,260204,3.1625,1.2731818181818182,11.0,217.63
2020-07-01,260373,3.016,1.4563636363636363,10.2,219.322
2020-08-01,260558,2.935,1.6614285714285715,8.4,222.424
2020-09-01,260742,2.89,1.6561904761904762,7.9,225.853
2020-10-01,260925,2.834,1.7038095238095239,6.9,229.781
2020-11-01,261085,2.765,1.7121052631578948,6.7,233.235
2020-12-01,261230,2.684,1.9159090909090908,6.7,236.521
2021-01-01,260851,2.735,2.081578947368421,6.3,239.55900000000003
2021-02-01,260918,2.81,2.18,6.2,242.325
2021-03-01,261003,3.0825,2.275217391304348,6.1,245.402
2021-04-01,261103,3.06,2.3495454545454546,6.1,249.055
2021-05-01,261210,2.9625,2.468,5.8,253.426
2021-06-01,261338,2.975,2.3427272727272728,5.9,258.381
2021-07-01,261469,2.868,2.327619047619048,5.4,262.707
2021-08-01,261611,2.8425,2.348636363636364,5.2,266.921
2021-09-01,261766,2.9,2.3442857142857143,4.8,270.402
2021-10-01,261908,3.0675,2.535,4.5,273.769
2021-11-01,262029,3.0675,2.616,4.2,277.251
2021-12-01,262136,3.098,2.4581818181818185,3.9,281.393
2022-01-01,263202,3.445,2.4495,4.0,285.921
2022-02-01,263324,3.7625,2.457894736842105,3.8,291.09
2022-03-01,263444,4.172,2.8465217391304347,3.6,296.353
2022-04-01,263559,4.9825,2.884,3.6,300.55
2022-05-01,263679,5.23,2.6885714285714286,3.6,303.796
2022-06-01,263835,5.522,2.617619047619048,3.6,304.755
2022-07-01,264012,5.4125,2.362,3.5,303.714
2022-08-01,264184,5.2225,2.508260869565217,3.7,301.596
2022-09-01,264356,6.112,2.3823809523809523,3.5,299.38
2022-10-01,264535,6.9,2.3935,3.7,298.922
2022-11-01,264708,6.805,2.371,3.6,298.312
2022-12-01,264844,6.364,2.259523809523809,3.5,297.471
2023-01-01,265962,6.2725,2.237,3.4,297.025
2023-02-01,266112,6.2575,2.333684210526316,3.6,297.464
2023-03-01,266272,6.544,2.3021739130434784,3.5,298.539
2023-04-01,266443,6.3425,2.2665,3.4,300.198
2023-05-01,266618,6.425,2.213636363636364,3.7,302.62
2023-06-01,266801,6.714,2.2004761904761905,3.6,304.651
2023-07-01,267002,6.84,2.2965,3.5,306.634
2023-08-01,267213,7.072,2.335217391304348,3.8,309.404
